0.018980 3.841175
0 0 0.0511572066922719
1 1 0.0094561886445868
2 0 0.0534700788781688
2 2 0.0196976161806295
3 1 0.0078571472028533
3 3 0.0039038150244227
4 0 0.0127538478916531
4 2 0.0297783907289255
4 4 0.0073420706705019
5 1 0.0055877162774261
5 3 0.0060792782805008
5 5 0.0077143414168863
6 0 0.0029700695028912
6 2 0.0052798777378586
6 4 0.0174326213983567
6 6 0.0073838040406823
7 1 0.0043548975810373
7 3 0.0058958422847202
7 5 0.0197338850336000
7 7 0.0030016277395500
8 0 0.0010828109541955
8 2 0.0219537502381621
8 4 0.0308812817121052
8 6 0.0210445154601544
8 8 0.0033791745091948
9 1 0.0025143164799086
9 3 0.0067145988665240
9 5 0.0199626774345055
9 7 0.0098073506397833
9 9 0.0025478458795012
10 0 0.0017405669473708
10 2 0.0239718793825099
10 4 0.0437485613672365
10 6 0.0246531522450341
10 8 0.0105434712336171
10 10 0.0020650020968770
11 1 0.0043497345316086
11 3 0.0107051826149209
11 5 0.0167888425655131
11 7 0.0171951315620142
11 9 0.0084788587451859
11 11 0.0015572426566072
12 0 0.0043934362527359
12 2 0.0216074160015269
12 4 0.0366642320501561
12 6 0.0181260944757639
12 8 0.0138328901379112
12 10 0.0074680199336471
12 12 0.0008861607095084
13 1 0.0067575683932761
13 3 0.0113631555942574
13 5 0.0171402963024686
13 7 0.0192330313592119
13 9 0.0115006055820682
13 11 0.0056630458294297
13 13 0.0006713664821317
14 0 0.0066881237183812
14 2 0.0202180267900708
14 4 0.0205370796084187
14 6 0.0136076210805899
14 8 0.0119633758841962
14 10 0.0109504036694591
14 12 0.0029557398043957
14 14 0.0005641417996677
15 1 0.0044470938588454
15 3 0.0071224892680753
15 5 0.0111514175063502
15 7 0.0127637779497783
15 9 0.0099143011972020
15 11 0.0083993868703869
15 13 0.0024354293947963
15 15 0.0003532108898655
16 0 0.0018143475484465
16 2 0.0127810437947669
16 4 0.0104684017125009
16 6 0.0111556241273870
16 8 0.0093200768913454
16 10 0.0084774179611454
16 12 0.0041568267677688
16 14 0.0017614571561952
16 16 0.0003353009342546
17 1 0.0019176161194336
17 3 0.0046223251481623
17 5 0.0043550243472967
17 7 0.0068725359058757
17 9 0.0083499986573758
17 11 0.0075579273041301
17 13 0.0040409147866612
17 15 0.0010961040264866
17 17 0.0002833669351200
18 0 0.0026454141567511
18 2 0.0050596754793312
18 4 0.0069053828510251
18 6 0.0085831200797339
18 8 0.0061912050396784
18 10 0.0055654477280432
18 12 0.0054234475445719
18 14 0.0018878919395997
18 16 0.0008588727392139
18 18 0.0002083433576948
19 1 0.0030536186053336
19 3 0.0054793969861418
19 5 0.0021958406484943
19 7 0.0066221900088527
19 9 0.0049539199362519
19 11 0.0066136360226178
19 13 0.0051137235586043
19 15 0.0016173491922001
19 17 0.0007861768858200
19 19 0.0001249453851412
20 0 0.0010788770958381
20 2 0.0024108127583798
20 4 0.0059263089610623
20 6 0.0089359607366954
20 8 0.0069837684164297
20 10 0.0052719527895089
20 12 0.0067834850204501
20 14 0.0045754672448840
20 16 0.0007992262248340
20 18 0.0005126287378684
20 20 0.0000976966945754
21 1 0.0034613807409987
21 3 0.0041279174665489
21 5 0.0033471184762928
21 7 0.0046751726087104
21 9 0.0041873052820435
21 11 0.0060302091144031
21 13 0.0059232151221834
21 15 0.0034820325501138
21 17 0.0009531377392399
21 19 0.0002805477247212
21 21 0.0000676591293865
22 0 0.0019358207274698
22 2 0.0037508613349166
22 4 0.0041814604419988
22 6 0.0069365845973940
22 8 0.0097745057915425
22 10 0.0068557179194634
22 12 0.0067126870933891
22 14 0.0073840267809203
22 16 0.0038043858578153
22 18 0.0009023736320656
22 20 0.0002221517518690
22 22 0.0000634300416162
23 1 0.0014075703361189
23 3 0.0050472128470189
23 5 0.0029966157764612
23 7 0.0042359933574227
23 9 0.0054254092593375
23 11 0.0087454525848634
23 13 0.0065276064876502
23 15 0.0069186759019378
23 17 0.0039792659972569
23 19 0.0007313766786659
23 21 0.0001380091111526
23 23 0.0000436412733736
24 0 0.0022578273365944
24 2 0.0027387810882960
24 4 0.0016598238202176
24 6 0.0054035009217526
24 8 0.0078899312938782
24 10 0.0062306091603120
24 12 0.0071176009924453
24 14 0.0069471295382302
24 16 0.0061328513932205
24 18 0.0039171182427457
24 20 0.0006876481188935
24 22 0.0001052845930525
24 24 0.0000355938788363
25 1 0.0009622947617235
25 3 0.0062879040566464
25 5 0.0060663656774654
25 7 0.0042795143479844
25 9 0.0068594799397598
25 11 0.0093649819265371
25 13 0.0069434842850088
25 15 0.0085710129484646
25 17 0.0071040824277687
25 19 0.0024441472382663
25 21 0.0005337261690602
25 23 0.0000594048272042
25 25 0.0000217316743696
